,0
1982,
1983,"milk,french wine,eggs,chocolate"
1984,honey
1985,"light cream,rice,cooking oil,chicken,extra dark chocolate,french fries"
1986,"spaghetti,mineral water,eggplant,green tea,energy drink,light mayo"
1987,
1988,"tomato juice,magazines,low fat yogurt"
1989,"mineral water,salmon,whole weat flour,light mayo,salt,shampoo,candy bars"
1990,
1991,"milk,eggs,chocolate"
1992,"shrimp,frozen vegetables,spaghetti,mineral water,toothpaste"
1993,"eggs,cake,french fries"
1994,
1995,
1996,"milk,olive oil,low fat yogurt"
1997,"burgers,spaghetti,whole wheat rice,light cream,chocolate,light mayo"
1998,
1999,"tomato sauce,spaghetti,fromage blanc,body spray"
2000,energy drink
2001,"frozen vegetables,frozen smoothie"
2002,"eggs,whole wheat rice,french fries"
2003,"energy bar,chocolate,body spray,low fat yogurt"
2004,cake
2005,cake
2006,
2007,"shrimp,ground beef,mineral water,eggs,cake,green tea,melons"
2008,"herb & pepper,ground beef,chocolate,light cream,frozen smoothie,champagne,fresh bread"
2009,"spaghetti,mineral water,eggs"
2010,"mineral water,milk"
2011,eggs
2012,"milk,eggs,chocolate bread,salt,white wine"
2013,yogurt cake
2014,
2015,
2016,"eggs,french fries"
2017,"energy bar,light cream,cooking oil,escalope"
2018,"whole wheat pasta,ground beef,mineral water,milk,chicken,eggs,chocolate,french fries"
2019,"cereals,chocolate,fresh bread"
2020,fromage blanc
2021,"eggs,chicken,chocolate bread,low fat yogurt"
2022,"ground beef,spaghetti,mineral water,milk"
2023,"burgers,ham,tomatoes,milk,eggs,chocolate,french fries,low fat yogurt"
2024,"tomatoes,chocolate"
2025,
2026,
2027,"ground beef,spaghetti,olive oil"
2028,"salt,tomato juice"
2029,"cooking oil,chocolate,mushroom cream sauce,brownies"
2030,"frozen vegetables,tomatoes,spaghetti,chocolate,cake"
2031,"eggs,french fries"
2032,"grated cheese,cider,salmon,cake"
2033,soup
2034,
2035,"eggs,green tea"
2036,toothpaste
2037,red wine
2038,"spaghetti,mineral water,olive oil"
2039,"milk,olive oil,chicken"
2040,eggs
2041,"fromage blanc,salmon,chocolate,frozen smoothie,light mayo"
2042,
2043,cookies
2044,"meatballs,pancakes"
2045,
2046,"grated cheese,whole wheat pasta,spaghetti,mineral water,eggs,whole wheat rice,blueberries,cooking oil,whole weat flour,hand protein bar"
2047,"light cream,oil,chicken,green tea,chocolate,hot dogs"
2048,chocolate
2049,
2050,"french fries,escalope,green tea"
2051,"eggs,fresh bread"
2052,"eggs,bug spray,cookies,low fat yogurt"
2053,"chocolate,eggs,gums,champagne,green tea"
2054,"cake,french fries"
2055,"green tea,chocolate"
2056,"chocolate,escalope"
2057,"cooking oil,chocolate,french fries"
2058,milk
2059,green tea
2060,
2061,"ground beef,spaghetti,mineral water,eggs,soda,cooking oil,zucchini"
2062,"ground beef,tomato sauce,soup,eggs,escalope"
2063,"whole wheat rice,escalope"
2064,"shrimp,spaghetti,mineral water,soup,milk,champagne"
2065,frozen smoothie
2066,"chocolate,whole wheat rice"
2067,chocolate
2068,
2069,"french fries,energy drink"
2070,"eggs,cookies"
2071,"frozen smoothie,cottage cheese,low fat yogurt"
2072,
2073,frozen smoothie
2074,french fries
2075,"herb & pepper,mineral water,flax seed,pancakes,frozen smoothie,sandwich,hot dogs,brownies"
2076,"butter,eggs,cake,chocolate,french fries"
2077,french fries
2078,"herb & pepper,shrimp,frozen vegetables,chicken,chocolate,low fat yogurt"
2079,cookies
2080,
2081,
2082,
2083,"mineral water,chocolate,nonfat milk"
2084,"eggs,chocolate"
2085,"mineral water,soup,olive oil,bug spray"
2086,"red wine,frozen vegetables,chicken,frozen smoothie"
2087,
2088,"ground beef,spaghetti,blueberries"
2089,"frozen vegetables,tomatoes,cake,green tea,pancakes"
2090,"milk,spinach,whole wheat rice,fresh bread"
2091,spaghetti
2092,
2093,
2094,"grated cheese,french fries"
2095,"nonfat milk,pancakes"
2096,"shrimp,spaghetti,milk,french wine,cake,green beans,french fries"
2097,eggs
2098,"eggs,french fries"
2099,mineral water
2100,spaghetti
2101,"ham,red wine,shrimp,mineral water,chicken,pancakes,cake,white wine"
2102,"cooking oil,chocolate"
2103,spaghetti
2104,"frozen vegetables,spaghetti,mineral water,milk,strong cheese"
2105,"ground beef,meatballs,salmon,eggs,champagne,frozen smoothie,low fat yogurt,mint"
2106,"milk,light cream,chicken,chocolate,frozen smoothie,mushroom cream sauce"
2107,"pancakes,eggs"
2108,
2109,
2110,"ground beef,pepper,flax seed,bacon,salmon,pet food"
2111,cider
2112,"tomato juice,fresh bread"
2113,"tomato sauce,spaghetti,mineral water,avocado,milk,olive oil,bacon,pancakes,whole wheat rice,whole weat flour,cereals,french fries,frozen smoothie"
2114,pancakes
2115,
2116,
2117,"cereals,chocolate,french fries,escalope,champagne,tomato juice"
2118,salmon
2119,"cake,cookies,mushroom cream sauce"
2120,"champagne,green tea"
2121,"tea,escalope,fresh bread,magazines"
2122,"soup,honey"
2123,"tomatoes,spaghetti,mineral water,chocolate,milk,frozen smoothie,green tea"
2124,"mineral water,milk,hand protein bar,tomato juice"
2125,light mayo
2126,"french fries,cookies,shallot,low fat yogurt"
2127,brownies
2128,"milk,cider,cooking oil,hot dogs"
2129,light mayo
2130,"ground beef,mineral water,olive oil,fromage blanc,honey,light cream,frozen smoothie,fresh bread"
2131,"mineral water,eggs,cake,french fries,yogurt cake"
2132,
2133,"milk,chocolate,cookies,strawberries,fresh bread"
2134,"frozen vegetables,olive oil,eggs,light mayo,low fat yogurt"
2135,
2136,"olive oil,honey,extra dark chocolate"
2137,
2138,"pasta,green tea"
2139,"chicken,honey,oatmeal,green tea,chocolate,french fries,frozen smoothie,cookies,mushroom cream sauce,magazines"
2140,"oil,magazines"
2141,"tomatoes,french wine,eggs,french fries"
2142,
2143,"whole wheat rice,pancakes,mayonnaise,low fat yogurt"
2144,"mineral water,olive oil,strong cheese,honey,cereals,chocolate"
2145,"milk,cake,french fries,champagne,green tea"
2146,
2147,
2148,"almonds,green grapes,tomato juice,fresh bread"
2149,"nonfat milk,muffins"
2150,"tea,frozen smoothie,escalope,mushroom cream sauce,green tea"
2151,"olive oil,french wine,ketchup"
2152,"mineral water,green tea"
2153,
2154,"eggs,champagne"
2155,"mineral water,chocolate,milk,soda,oatmeal,white wine"
2156,green tea
2157,cake
2158,oil
2159,eggs
2160,candy bars
2161,
2162,
2163,
2164,"tomatoes,spaghetti,chicken,cake,escalope"
2165,"milk,energy bar,light cream"
2166,
2167,"herb & pepper,red wine,milk,black tea,chicken,pancakes,eggs,cake,mint green tea"
2168,"tomatoes,salmon,frozen smoothie"
2169,
2170,"shrimp,mineral water,cider"
2171,cookies
2172,"shrimp,frozen vegetables,ground beef,spaghetti,mineral water"
2173,"pancakes,chicken,frozen smoothie,low fat yogurt"
2174,"milk,eggs,cereals,fresh bread,white wine,low fat yogurt"
2175,"pancakes,whole wheat rice,chocolate,gluten free bar,melons,fresh bread,low fat yogurt"
2176,"soda,gluten free bar,white wine"
2177,"milk,cake,bug spray,cooking oil,cereals,energy drink,salt"
2178,"frozen vegetables,mineral water,milk,eggs,cake,gums,escalope,fresh bread"
2179,green tea
2180,"honey,light mayo"
2181,"spaghetti,mineral water,milk,chicken,eggs,cake,green tea"
2182,
2183,"cider,eggs,french fries,cookies,green tea"
2184,"burgers,chocolate,spaghetti,vegetables mix,bug spray,chicken,chili,green tea,strawberries,babies food,tomato juice,fresh bread"
2185,"french fries,low fat yogurt,honey"
2186,"energy bar,chocolate,french fries,body spray,low fat yogurt"
2187,"herb & pepper,pepper,champagne,white wine"
2188,fresh bread
2189,"honey,cake,low fat yogurt,green tea"
2190,"mineral water,butter,french wine,bacon,eggs,whole wheat rice,cooking oil,low fat yogurt"
2191,"grated cheese,herb & pepper,ground beef,chocolate,milk,cider,eggs,whole wheat rice,cake,oil,eggplant"
2192,"tomatoes,mineral water,eggs,french fries,strawberries,green tea"
2193,spaghetti
2194,"frozen vegetables,tomatoes,eggs,cake,cooking oil"
2195,"eggs,cake"
2196,
2197,"shrimp,frozen vegetables,tomatoes,spaghetti,mineral water,soup,milk,olive oil,pancakes,chicken,chocolate,hot dogs,light mayo,tomato juice"
2198,
2199,"chocolate,french wine,chicken"
2200,
2201,"frozen vegetables,ground beef,pepper,spaghetti,green tea"
2202,"champagne,low fat yogurt"
2203,"pancakes,whole wheat rice,candy bars"
2204,"avocado,french fries,frozen smoothie,light mayo,tomato juice,green tea"
2205,"tomatoes,butter,eggs,cake,bug spray"
2206,"spaghetti,mineral water,milk,whole wheat rice,cake"
2207,low fat yogurt
2208,"spaghetti,milk,cider,eggs,french fries,pancakes,low fat yogurt"
2209,
2210,"ground beef,flax seed,eggs,carrots,green tea,cookies,shallot"
2211,
2212,"spaghetti,salmon"
2213,"frozen vegetables,ground beef,mineral water,chocolate,soup,milk"
2214,"champagne,mushroom cream sauce"
2215,"muffins,pancakes,oil,french fries,magazines"
2216,olive oil
2217,"ground beef,mineral water,low fat yogurt"
2218,
2219,
2220,"french wine,chocolate,french fries,shallot,brownies,pancakes,toothpaste"
2221,"spaghetti,milk,bacon,eggs,chocolate,french fries,cookies,green tea"
2222,champagne
2223,"vegetables mix,eggs,cooking oil"
2224,milk
2225,frozen smoothie
2226,"tomato sauce,mineral water,milk,olive oil,french fries"
2227,
2228,"soup,whole wheat rice"
2229,
2230,
2231,frozen vegetables
2232,"eggs,ham,french fries"
2233,shrimp
2234,"french fries,shallot,green tea"
2235,
2236,"shrimp,mineral water"
2237,"butter,eggs,toothpaste"
2238,
2239,"chocolate,milk,eggs,cake,cooking oil"
2240,
2241,"shrimp,mineral water,milk,energy bar,rice,brownies,yogurt cake"
2242,honey
2243,"shrimp,spaghetti,french wine,chicken,green grapes,green tea,magazines,low fat yogurt"
2244,
2245,"french fries,yogurt cake"
2246,"mineral water,milk,strong cheese,chocolate,champagne,frozen smoothie"
2247,"spaghetti,eggs"
2248,"ground beef,spaghetti,mineral water,pancakes,tomato juice"
2249,
2250,
2251,
2252,"shrimp,ground beef,olive oil,cookies,fresh bread"
2253,mineral water
2254,"chicken,candy bars"
2255,"red wine,tomatoes,tomato sauce,spaghetti,mineral water,chocolate,almonds,fromage blanc,eggs,cake,blueberries,cooking oil"
2256,
2257,"fresh tuna,tomatoes,mineral water,meatballs,milk,french wine,cider,eggs,cake,cooking oil,hot dogs,green tea"
2258,"honey,whole wheat rice"
2259,
2260,
2261,"herb & pepper,shrimp,mineral water,eggs,gums,green tea,escalope"
2262,"barbecue sauce,escalope"
2263,
2264,"eggs,cake"
2265,"eggs,escalope"
2266,
2267,"chicken,low fat yogurt"
2268,"tomatoes,mineral water,french wine,pancakes"
2269,"cake,light mayo,fresh bread"
2270,eggs
2271,"french wine,salmon,french fries"
2272,"ground beef,mineral water,soup,nonfat milk,pancakes,eggs"
2273,french fries
2274,"milk,eggs,french fries"
2275,
2276,"eggs,chicken,chocolate"
2277,"mineral water,pancakes"
2278,"herb & pepper,pepper,yogurt cake,fresh bread,green tea"
2279,"mineral water,eggs,yogurt cake"
2280,"milk,cake"
2281,"eggs,french fries"
2282,"tomatoes,mineral water,cake,green tea"
2283,
2284,eggplant
2285,"black tea,eggs"
2286,"spaghetti,strong cheese"
2287,"red wine,spaghetti,mineral water,soup,bacon,pancakes,eggs,cooking oil"
2288,
2289,"spaghetti,mineral water,milk,salmon,green tea,escalope,mushroom cream sauce"
2290,"soup,avocado,green tea"
2291,"red wine,frozen vegetables,ground beef,pancakes,pet food,protein bar"
2292,"tomatoes,mineral water,soup,olive oil,chocolate,escalope,yogurt cake,green tea"
2293,"mineral water,cereals,sparkling water,energy drink"
2294,
2295,
2296,
2297,"eggs,cake,french fries,mint,green tea"
2298,"pepper,spaghetti,mineral water,nonfat milk,whole wheat rice,french fries,champagne"
2299,
2300,"chocolate,champagne"
2301,"frozen vegetables,mineral water,soup,vegetables mix,pancakes,cooking oil,carrots,french fries,escalope,mint"
2302,"french fries,brownies,strawberries"
2303,"salmon,eggs,cake,cauliflower,low fat yogurt"
2304,"whole wheat rice,frozen smoothie,low fat yogurt"
2305,eggs
2306,
2307,"salmon,cake,champagne"
2308,"spaghetti,mineral water,light cream"
2309,
2310,
2311,
2312,"strawberries,low fat yogurt,candy bars"
2313,"shallot,white wine"
2314,"grated cheese,herb & pepper,red wine,parmesan cheese,ground beef,spaghetti,avocado,eggs,clothes accessories,fresh bread"
2315,"escalope,salt"
2316,cookies
2317,"parmesan cheese,butter,carrots,oatmeal,green tea,hot dogs"
2318,"grated cheese,ground beef,mineral water,milk,nonfat milk,french fries"
2319,"shrimp,whole wheat pasta,spaghetti,french wine,eggs,chocolate"
2320,eggs
2321,"tomato sauce,mineral water,meatballs,chicken,brownies,fresh bread,low fat yogurt"
2322,eggs
2323,light mayo
2324,"frozen smoothie,cookies,champagne"
2325,"mineral water,milk,french fries,babies food"
2326,
2327,"honey,cooking oil,green tea"
2328,
2329,frozen smoothie
2330,low fat yogurt
2331,hot dogs
2332,
2333,"green tea,honey"
2334,"shrimp,frozen vegetables,mineral water,milk,olive oil,french fries"
2335,
2336,"ground beef,pepper,spaghetti,cooking oil,chicken,corn"
2337,french fries
2338,"pickles,honey,cottage cheese,green tea"
2339,"frozen smoothie,energy drink"
2340,"chicken,eggs,pancakes"
2341,"pancakes,cooking oil"
2342,"spaghetti,milk,chocolate,french fries,cookies,green tea"
2343,
2344,"spaghetti,candy bars"
2345,french fries
2346,"green tea,mushroom cream sauce,strawberries"
2347,
2348,"burgers,tomatoes,spaghetti,eggs,whole weat flour,pancakes"
2349,"milk,eggs,cake,clothes accessories,french fries"
2350,
2351,eggs
2352,"eggs,whole wheat rice,green tea"
2353,"grated cheese,spaghetti,mineral water,salmon,eggs,mashed potato"
2354,
2355,low fat yogurt
2356,"shrimp,frozen vegetables,spaghetti,mineral water,olive oil,eggs,cake,light cream,yogurt cake"
2357,"tomato juice,low fat yogurt,green tea"
2358,"burgers,shrimp,ground beef,spaghetti,mineral water,milk,olive oil,salmon,honey,whole wheat rice,rice,burger sauce,french fries,hot dogs,protein bar"
2359,escalope
2360,
2361,"spaghetti,french fries"
2362,
2363,cake
2364,babies food
2365,"turkey,herb & pepper,shrimp,tomato sauce,light cream,cooking oil,pet food,chocolate"
2366,french fries
2367,"cake,french fries"
2368,"frozen vegetables,ground beef,mineral water"
2369,"mineral water,pancakes,tea,chocolate,escalope"
2370,"energy bar,muffins,french fries"
2371,"chocolate,escalope"
2372,"dessert wine,champagne,frozen smoothie,cookies,hot dogs,green tea"
2373,"french fries,champagne,cookies,pancakes,yogurt cake,light mayo,green tea"
2374,salmon
2375,"soup,cooking oil"
2376,"milk,cream"
2377,"mineral water,oil,barbecue sauce,frozen smoothie,brownies,white wine,green tea"
2378,eggs
2379,"milk,eggs,ham,chocolate,french fries,pancakes,green tea"
2380,
2381,"ground beef,spaghetti,olive oil,fromage blanc,eggs,low fat yogurt"
2382,"ground beef,salmon,eggs,whole wheat rice,cooking oil,french fries,frozen smoothie,champagne,cauliflower,low fat yogurt,honey"
2383,"frozen vegetables,tomatoes,parmesan cheese,whole wheat pasta,ground beef,spaghetti,energy bar,pet food,cottage cheese"
2384,
2385,
2386,
2387,"spaghetti,flax seed,pancakes,hot dogs"
2388,brownies
2389,"whole wheat rice,cake"
2390,
2391,"burgers,mineral water,cooking oil,chocolate bread,pancakes"
2392,"green grapes,cooking oil"
2393,
2394,"grated cheese,tomato sauce,spaghetti,chocolate,eggs"
2395,"burgers,spaghetti,mineral water,chocolate,soup,avocado,milk,whole wheat rice,cake,brownies,pancakes,white wine"
2396,"energy bar,escalope,white wine"
2397,"flax seed,pancakes,light cream,oil,chicken"
2398,
2399,eggs
2400,"herb & pepper,tomatoes,whole wheat pasta,spaghetti,mineral water,olive oil,vegetables mix,pancakes,hot dogs"
2401,eggs
2402,
2403,"spaghetti,mineral water,olive oil,green tea"
2404,cottage cheese
2405,"butter,salmon,muffins,carrots,escalope,low fat yogurt,green tea"
2406,"frozen vegetables,spaghetti,chocolate,almonds,pancakes,eggs,whole wheat rice,fresh bread"
2407,"milk,energy bar,salmon,vegetables mix,eggs,bramble,escalope,gluten free bar,cauliflower"
2408,"eggs,french fries,green tea"
2409,"ground beef,pancakes,cooking oil,white wine"
2410,"cake,rice,french fries,frozen smoothie,yogurt cake"
2411,"mineral water,olive oil,brownies,low fat yogurt"
2412,"mineral water,olive oil,flax seed,eggs,green tea"
2413,"honey,low fat yogurt"
2414,
2415,"frozen vegetables,ground beef,olive oil,butter,salmon,blueberries,oil,chocolate,light mayo"
2416,"chicken,barbecue sauce,strawberries,green tea"
2417,
2418,french fries
2419,zucchini
2420,green tea
2421,
2422,
2423,"almonds,chicken,light mayo,green tea"
2424,"spaghetti,cooking oil,chicken,extra dark chocolate,whole weat flour,frozen smoothie,strawberries,energy drink"
2425,
2426,strong cheese
2427,"mineral water,salmon,whole wheat rice,chicken,clothes accessories"
2428,"strawberries,honey"
2429,"tomatoes,spaghetti,mineral water,chocolate,milk,bug spray"
2430,"cake,rice"
2431,"ham,chocolate,frozen vegetables,whole wheat pasta,black tea,strong cheese,cottage cheese,zucchini"
2432,"french wine,rice,green beans"
2433,"champagne,sandwich,strawberries,yogurt cake,green tea"
2434,ground beef
2435,
2436,"french fries,green tea"
2437,
2438,
2439,
2440,
2441,pepper
2442,babies food
2443,"pepper,cider,green tea,cookies,shallot,mushroom cream sauce,shampoo,low fat yogurt"
2444,french fries
2445,"fresh tuna,avocado"
2446,
2447,
2448,low fat yogurt
2449,brownies
2450,"ham,grated cheese,ground beef,spaghetti,almonds,cooking oil,cereals,green tea,shampoo"
2451,french fries
2452,pancakes
2453,
2454,
2455,
2456,
2457,french fries
2458,
2459,chocolate
2460,
2461,
2462,"mineral water,eggs,carrots,brownies"
2463,"spaghetti,salmon,vegetables mix,cereals,frozen smoothie"
2464,mint
2465,"olive oil,energy bar,pancakes,frozen smoothie"
2466,"fresh bread,honey"
2467,"melons,green tea"
2468,
2469,
2470,whole wheat rice
2471,"chocolate,french fries,frozen smoothie,escalope,low fat yogurt,candy bars"
2472,"ground beef,spaghetti,cooking oil,hot dogs,brownies,yogurt cake,cauliflower,low fat yogurt"
2473,"black tea,eggs"
2474,
2475,
2476,"eggs,french fries,pancakes"
2477,"eggplant,low fat yogurt"
2478,"pickles,energy bar,pancakes,cake,hot dogs"
2479,
2480,"frozen vegetables,vegetables mix,green grapes,eggs,champagne"
2481,"escalope,pasta,mushroom cream sauce"
2482,low fat yogurt
2483,"mineral water,cake,brownies,body spray,energy drink,green tea"
2484,escalope
2485,mineral water
2486,
2487,"herb & pepper,whole wheat rice,cooking oil,french fries,light mayo"
2488,fresh bread
2489,"frozen vegetables,tomatoes,parmesan cheese,whole wheat pasta,spaghetti,soup,avocado,milk,eggs,cooking oil,honey,yogurt cake,protein bar,fresh bread,magazines"
2490,"whole wheat rice,escalope"
2491,
2492,"honey,brownies"
2493,"soda,hot dogs,body spray,energy drink"
2494,"ground beef,mineral water,eggs,whole wheat rice,cooking oil,french fries,cottage cheese,body spray"
2495,"mineral water,eggs"
2496,"whole wheat rice,bug spray,pasta,green tea"
2497,"milk,eggs,brownies,energy drink"
2498,
2499,"pancakes,low fat yogurt"
2500,honey
2501,
2502,
2503,"pasta,mushroom cream sauce"
2504,light mayo
2505,
2506,"ground beef,champagne,green tea"
2507,
2508,"french fries,energy drink"
2509,"shrimp,ground beef,mineral water,avocado,milk,brownies,protein bar"
2510,"almonds,cottage cheese,light mayo"
2511,
2512,candy bars
2513,"avocado,milk,almonds,eggs,french fries,melons"
2514,
2515,escalope
2516,milk
2517,salmon
2518,
2519,"vegetables mix,rice,light mayo"
2520,
2521,"cookies,green tea"
2522,"spinach,eggs,cooking oil,green tea,salad"
2523,
2524,"cake,chicken,french fries,tomato juice"
2525,cereals
2526,french fries
2527,"mineral water,eggs"
2528,fresh bread
2529,
2530,energy drink
2531,"frozen vegetables,honey,french fries,escalope"
2532,
2533,"spinach,yogurt cake"
2534,
2535,"spaghetti,cider,champagne"
2536,cookies
2537,
2538,
2539,"soup,gums"
2540,cookies
2541,"herb & pepper,spaghetti,soup,olive oil,strong cheese,shampoo,green tea"
2542,mineral water
2543,
2544,"bug spray,cereals,french fries,escalope,salad"
2545,"ground beef,escalope,green tea"
2546,"mineral water,french wine,light mayo,honey"
2547,"tomatoes,spinach,french fries"
2548,"champagne,escalope"
2549,green tea
2550,"mineral water,green beans,french fries"
2551,"pepper,spaghetti,mineral water,soup,milk,nonfat milk,brownies"
2552,"pepper,spaghetti,soup,olive oil,carrots"
2553,
2554,
2555,
2556,
2557,
2558,
2559,mineral water
2560,
2561,
2562,hot dogs
2563,
2564,champagne
2565,
2566,
2567,"eggs,light mayo,green tea"
2568,
2569,"escalope,pasta,mushroom cream sauce"
2570,
2571,energy bar
2572,
2573,"french wine,chicken,escalope"
2574,champagne
2575,
2576,
2577,
2578,"grated cheese,frozen vegetables,mineral water,olive oil,salmon,nonfat milk,cooking oil,low fat yogurt"
2579,
2580,cake
2581,"eggs,oil,chocolate,cookies,tomato juice,fresh bread"
2582,"cooking oil,green tea,cookies,zucchini"
2583,"grated cheese,mineral water,cake,french fries"
2584,hot dogs
2585,butter
2586,"milk,eggs,protein bar,green tea"
2587,
2588,
2589,"mineral water,chocolate,french fries,frozen smoothie,hot dogs,shampoo,low fat yogurt"
2590,"muffins,cooking oil,french fries"
2591,"mineral water,pancakes,eggs,frozen smoothie"
2592,"grated cheese,tomatoes,ground beef,spaghetti,mineral water,meatballs,milk,chicken,eggs,whole wheat rice,french fries"
2593,"ground beef,spaghetti,mineral water,salmon,champagne"
2594,
2595,"frozen vegetables,ground beef,mineral water,soup,avocado,salmon,cake,mint green tea,tea,low fat yogurt"
2596,
2597,honey
2598,"french fries,pasta,champagne,green tea"
2599,"french wine,fromage blanc,cereals,carrots,cottage cheese,yogurt cake"
2600,"mineral water,avocado,meatballs,eggs,cereals"
2601,"mineral water,fromage blanc,honey,french fries,low fat yogurt"
2602,salmon
2603,"mineral water,eggs"
2604,
2605,"chocolate,french fries"
2606,"avocado,meatballs"
2607,
2608,salad
2609,
2610,
2611,
2612,"spaghetti,barbecue sauce,french fries,fresh bread"
2613,"spaghetti,mineral water,milk,eggs,extra dark chocolate,cottage cheese,pancakes,low fat yogurt"
2614,
2615,"frozen vegetables,muffins"
2616,
2617,"frozen vegetables,spaghetti,mineral water,chocolate,olive oil,pancakes,chicken,hot dogs,cottage cheese,fresh bread,green tea"
2618,"frozen vegetables,whole wheat rice,fresh bread"
2619,"french fries,escalope"
2620,"french fries,brownies"
2621,"ground beef,pepper,spaghetti,salmon,body spray"
2622,
2623,body spray
2624,
2625,"ground beef,tomato sauce,spaghetti,mineral water,soup,chicken,cereals,cottage cheese,brownies,green tea"
2626,"red wine,mineral water,chicken,hot dogs"
2627,"herb & pepper,salmon,vegetables mix,bramble,cooking oil,fresh bread"
2628,"ground beef,mineral water,eggs,chocolate,fresh bread,white wine"
2629,"ham,mineral water,blueberries,light cream,carrots,escalope,fresh bread,green tea"
2630,"strawberries,honey"
2631,"ground beef,pepper,chocolate,french fries"
2632,"frozen vegetables,ground beef,spaghetti,mineral water,milk,almonds,french wine,strong cheese,clothes accessories,chocolate,low fat yogurt"
2633,champagne
2634,
2635,"frozen vegetables,avocado,flax seed,cooking oil"
2636,honey
2637,"ground beef,spaghetti,mineral water,olive oil,black tea,salmon,honey,light cream,cooking oil,extra dark chocolate,brownies,tomato juice"
2638,"chicken,hot dogs,light mayo"
2639,"frozen smoothie,body spray,light mayo,toothpaste"
2640,
2641,
2642,
2643,"spaghetti,mineral water,soup,meatballs,milk,olive oil,chicken,eggs,cake"
2644,"pepper,spaghetti,cookies"
2645,"mineral water,milk,eggs,low fat yogurt"
2646,"spaghetti,milk,eggs,light cream"
2647,
2648,
2649,"mineral water,blueberries"
2650,"tomatoes,spaghetti,salmon,muffins,whole wheat rice,cake,light cream,carrots,green tea,french fries,champagne,frozen smoothie"
2651,"soup,avocado,chicken,cookies,light mayo,green tea"
2652,"french fries,body spray"
2653,"avocado,light mayo,white wine,magazines,toothpaste"
2654,"soup,milk,butter,whole wheat rice,chocolate,low fat yogurt,green tea"
2655,
2656,
2657,"salmon,green tea"
2658,spaghetti
2659,
2660,
2661,"fresh tuna,parmesan cheese,spaghetti,chocolate,champagne,green tea"
2662,"vegetables mix,eggs,escalope,low fat yogurt"
2663,
2664,"parmesan cheese,mineral water,milk,cider,whole wheat rice,gums,rice,carrots,escalope,low fat yogurt,mint"
2665,
2666,
2667,"herb & pepper,shrimp,frozen vegetables,ground beef,spaghetti,mineral water,bacon,oil,extra dark chocolate,carrots,pancakes,low fat yogurt"
2668,"tomatoes,pepper,strong cheese,whole wheat rice,french fries,frozen smoothie,hot dogs,pancakes,babies food,green tea"
2669,"mineral water,black tea,rice,cooking oil,chicken,chili,chocolate"
2670,"grated cheese,salmon,french fries"
2671,"chicken,cereals,champagne,brownies"
2672,
2673,"frozen vegetables,tomatoes,spaghetti,mineral water,nonfat milk,cake,eggplant,melons,shampoo,tomato juice,mint"
2674,"eggs,cooking oil,french fries"
2675,"soup,butter,chicken,cooking oil,green tea,hot dogs,brownies,white wine"
2676,"spaghetti,mineral water,pancakes,oil,cooking oil,chicken,green tea,escalope,energy drink,light mayo,honey"
2677,"herb & pepper,mineral water,cake"
2678,"spaghetti,cooking oil,french fries"
2679,"vegetables mix,yogurt cake"
2680,spaghetti
2681,mint
2682,blueberries
2683,"ground beef,pepper,tomato sauce,spaghetti,butter,french wine,chicken,salmon,eggs,chocolate,french fries,escalope,mushroom cream sauce"
2684,"burgers,frozen vegetables,oil,corn,carrots,chocolate,champagne"
2685,"cottage cheese,shampoo"
2686,chutney
2687,
2688,"mineral water,vegetables mix,green grapes,eggs,french fries,green tea"
2689,"milk,muffins"
2690,"ground beef,tomato sauce,yams,olive oil,chicken,burger sauce,oil,cooking oil,chili,carrots,ham,eggplant,frozen smoothie,toothpaste"
2691,"mineral water,gums,cereals,frozen smoothie,cookies,shallot,brownies,tomato juice,low fat yogurt,green tea"
2692,
2693,"black tea,mashed potato"
2694,"chocolate,avocado,fromage blanc,honey,carrots,melons,shampoo"
2695,"shrimp,mineral water,butter,strong cheese,salmon,tea,chocolate,frozen smoothie"
2696,
2697,
2698,"cereals,french fries"
2699,"fromage blanc,bacon,cooking oil,barbecue sauce,cereals,green tea,chocolate"
2700,"grated cheese,frozen vegetables,ground beef,spaghetti,mineral water,soup,meatballs,milk,green grapes,strawberries"
2701,
2702,"fromage blanc,tea"
2703,
2704,"spaghetti,meatballs,chutney,chicken,frozen smoothie,escalope,pancakes,toothpaste"
2705,"milk,cake,french fries,yogurt cake"
2706,"pancakes,chocolate,french fries"
2707,"tomatoes,spaghetti,meatballs,milk,olive oil,butter,cooking oil,chicken,brownies"
2708,cookies
2709,"gums,energy drink"
2710,"burgers,chocolate,avocado,cider,honey,cake,green tea,brownies"
2711,"spaghetti,mineral water,meatballs,milk,chicken,rice,frozen smoothie,shampoo,tomato juice,cauliflower,candy bars"
2712,black tea
2713,
2714,
2715,
2716,escalope
2717,energy drink
2718,
2719,
2720,"milk,whole wheat rice,cake,french fries,cottage cheese,body spray"
2721,"yogurt cake,mint"
2722,
2723,"french fries,green tea"
2724,"spaghetti,chicken,pancakes,french fries"
2725,"chicken,cider,eggs"
2726,yogurt cake
2727,
2728,french fries
2729,"chocolate,whole wheat pasta,milk,olive oil,chicken,bacon,whole wheat rice,cottage cheese"
2730,escalope
2731,tomatoes
2732,"tomatoes,french fries,champagne"
2733,"tomatoes,ground beef,spaghetti,chocolate,butter,salmon,cake,cooking oil,chicken,chili,french fries,escalope,cottage cheese,hand protein bar"
2734,"french fries,cookies"
